"var","ind","year","value"
"WAGE","D01",2008,21777000
"CAPN","D01",2008,446800
"GFCF","D01",2008,37800
"VKPY","D01",2008,124748.620685261
"PKPY","D01",2008,300675.550286097
"IKPY","D01",2008,177150.075325268
"GKPY","D01",2008,35409.6959916256
"CNPY","D01",2008,436407.590451515
"EMPN","D01",2008,1499000
"INTI","D01",2009,191400
"PROD","D01",2009,301200
"VALU","D01",2009,109800
"EMPE","D01",2009,739000
"FTEE","D01",2009,634000
"FTEN","D01",2009,1383000
"LABR","D01",2009,25616
"WAGE","D01",2009,21806000
"CAPN","D01",2009,435700
"GFCF","D01",2009,37200
"VKPY","D01",2009,146419.504051751
"PKPY","D01",2009,348615.288870449
"IKPY","D01",2009,204367.901186464
"GKPY","D01",2009,37016.0010967704
"CNPY","D01",2009,451258.433321214
"EMPN","D01",2009,1488000
"INTI","D01",2010,198500
"PROD","D01",2010,328200
"VALU","D01",2010,129700
"EMPE","D01",2010,754000
"FTEE","D01",2010,647000
"FTEN","D01",2010,1383000
"LABR","D01",2010,24176
"WAGE","D01",2010,20753000
"CAPN","D01",2010,440200
"GFCF","D01",2010,37700
"VKPY","D01",2010,111454.686
"PKPY","D01",2010,304555.368
"IKPY","D01",2010,193047.954
"GKPY","D01",2010,38489.352
"CNPY","D01",2010,440057
"EMPN","D01",2010,1490000
"INTI","D01",2011,220700
"PROD","D01",2011,387000
"VALU","D01",2011,166200
"EMPE","D01",2011,763000
"FTEE","D01",2011,654000
"FTEN","D01",2011,1416000
"LABR","D01",2011,22845
"WAGE","D01",2011,19888000
"CAPN","D01",2011,456400
"GFCF","D01",2011,43400
"VKPY","D01",2011,123017.396829775
"PKPY","D01",2011,315034.867575212
"IKPY","D01",2011,192127.437760879
"GKPY","D01",2011,43443.5785668722
"CNPY","D01",2011,448372.02970297
"EMPN","D01",2011,1525000
"INTI","D01",2012,243900
"PROD","D01",2012,405300
"VALU","D01",2012,161400
"EMPE","D01",2012,780000
"FTEE","D01",2012,668000
"FTEN","D01",2012,1366000
"LABR","D01",2012,27593
"WAGE","D01",2012,24065000
"CAPN","D01",2012,469800
"GFCF","D01",2012,41700
"VKPY","D01",2012,156712.425605285
"PKPY","D01",2012,385923.42722908
"IKPY","D01",2012,228967.517900495
"GKPY","D01",2012,39205.9297654094
"CNPY","D01",2012,461275.660753342
"EMPN","D01",2012,1478000
"INTI","D01",2013,234400
"PROD","D01",2013,426500
"VALU","D01",2013,192100
"EMPE","D01",2013,789000
"FTEE","D01",2013,676000
"FTEN","D01",2013,1382000
"LABR","D01",2013,30475
"WAGE","D01",2013,26687000
"CAPN","D01",2013,491400
"GFCF","D01",2013,42700
"VKPY","D01",2013,184507.43217193
"PKPY","D01",2013,419018.258461793
"IKPY","D01",2013,234134.848933649
"GKPY","D01",2013,43023.705051668
"CNPY","D01",2013,474481.101044492
"EMPN","D01",2013,1495000
"INTI","D01T03",1997,149000
"PROD","D01T03",1997,257800
"VALU","D01T03",1997,108800
"CAPN","D01T03",1997,312000
"GFCF","D01T03",1997,26900
"EMPN","D01T03",1997,0
"INTI","D01T03",1998,149800
"PROD","D01T03",1998,249700
"VALU","D01T03",1998,99900
"EMPE","D01T03",1998,1325000
"FTEE","D01T03",1998,1173000
"FTEN","D01T03",1998,2180000
"LABR","D01T03",1998,27922
"WAGE","D01T03",1998,24227000
"CAPN","D01T03",1998,322900
"GFCF","D01T03",1998,27100
"VKPY","D01T03",1998,104822.585186419
"PKPY","D01T03",1998,263096.074833281
"IKPY","D01T03",1998,158295.667415238
"GKPY","D01T03",1998,26869.8579466728
"CNPY","D01T03",1998,314495.180788797
"EMPN","D01T03",1998,2332000
"INTI","D01T03",1999,152400
"PROD","D01T03",1999,245200
"VALU","D01T03",1999,92800
"EMPE","D01T03",1999,1359000
"FTEE","D01T03",1999,1198000
"FTEN","D01T03",1999,2183000
"LABR","D01T03",1999,29574
"WAGE","D01T03",1999,24817000
"CAPN","D01T03",1999,329400
"GFCF","D01T03",1999,23000
"VKPY","D01T03",1999,104996.554378908
"PKPY","D01T03",1999,258759.044162793
"IKPY","D01T03",1999,153855.989207397
"GKPY","D01T03",1999,21603.4437421596
"CNPY","D01T03",1999,320429.255665538
"EMPN","D01T03",1999,2344000
"INTI","D01T03",2000,145000
"PROD","D01T03",2000,243500
"VALU","D01T03",2000,98500
"EMPE","D01T03",2000,1331000
"FTEE","D01T03",2000,1170000
"FTEN","D01T03",2000,2166000
"LABR","D01T03",2000,30274
"WAGE","D01T03",2000,25901000
"CAPN","D01T03",2000,338300
"GFCF","D01T03",2000,25000
"VKPY","D01T03",2000,106552.207256365
"PKPY","D01T03",2000,241700.367129723
"IKPY","D01T03",2000,136256.899277987
"GKPY","D01T03",2000,24227.7988772716
"CNPY","D01T03",2000,329111.782655773
"EMPN","D01T03",2000,2327000
"INTI","D01T03",2001,151200
"PROD","D01T03",2001,251200
"VALU","D01T03",2001,1e+05
"EMPE","D01T03",2001,1296000
"FTEE","D01T03",2001,1118000
"FTEN","D01T03",2001,2093000
"LABR","D01T03",2001,31373
"WAGE","D01T03",2001,26361000
"CAPN","D01T03",2001,347500
"GFCF","D01T03",2001,26200
"VKPY","D01T03",2001,93551.0181496237
"PKPY","D01T03",2001,241903.115876696
"IKPY","D01T03",2001,148451.799449778
"GKPY","D01T03",2001,26005.1424221095
"CNPY","D01T03",2001,338870.307933137
"EMPN","D01T03",2001,2271000
"INTI","D01T03",2002,145500
"PROD","D01T03",2002,241300
"VALU","D01T03",2002,95800
"EMPE","D01T03",2002,1284000
"FTEE","D01T03",2002,1108000
"FTEN","D01T03",2002,2098000
"LABR","D01T03",2002,31656
"WAGE","D01T03",2002,26520000
"CAPN","D01T03",2002,356400
"GFCF","D01T03",2002,28900
"VKPY","D01T03",2002,103739.701427063
"PKPY","D01T03",2002,251658.666551422
"IKPY","D01T03",2002,148017.351247601
"GKPY","D01T03",2002,29482.9595669465
"CNPY","D01T03",2002,350310.228949238
"EMPN","D01T03",2002,2274000
"INTI","D01T03",2003,152100
"PROD","D01T03",2003,268200
"VALU","D01T03",2003,116100
"EMPE","D01T03",2003,1299000
"FTEE","D01T03",2003,1121000
"FTEN","D01T03",2003,2072000
"LABR","D01T03",2003,31661
"WAGE","D01T03",2003,26457000
"CAPN","D01T03",2003,369500
"GFCF","D01T03",2003,30700
"VKPY","D01T03",2003,105035.031384209
"PKPY","D01T03",2003,248227.297629575
"IKPY","D01T03",2003,143065.649303967
"GKPY","D01T03",2003,30729.6122223586
"CNPY","D01T03",2003,360112.942706922
"EMPN","D01T03",2003,2250000
"INTI","D01T03",2004,164500
"PROD","D01T03",2004,307200
"VALU","D01T03",2004,142700
"EMPE","D01T03",2004,1235000
"FTEE","D01T03",2004,1066000
"FTEN","D01T03",2004,2030000
"LABR","D01T03",2004,34954
"WAGE","D01T03",2004,28135000
"CAPN","D01T03",2004,399300
"GFCF","D01T03",2004,34700
"VKPY","D01T03",2004,123388.958659757
"PKPY","D01T03",2004,277408.233740093
"IKPY","D01T03",2004,153886.523287281
"GKPY","D01T03",2004,34258.2649540098
"CNPY","D01T03",2004,375486.148960367
"EMPN","D01T03",2004,2199000
"INTI","D01T03",2005,171100
"PROD","D01T03",2005,299600
"VALU","D01T03",2005,128600
"EMPE","D01T03",2005,1201000
"FTEE","D01T03",2005,1037000
"FTEN","D01T03",2005,1992000
