"var","ind","year","value"
"CAPN","D18",2001,44400
"GFCF","D18",2001,5300
"VKPY","D18",2001,43856.3438413099
"PKPY","D18",2001,105218.976236875
"IKPY","D18",2001,61376.7400279758
"GKPY","D18",2001,5346.16039986368
"CNPY","D18",2001,44140.3659655985
"EMPN","D18",2001,809000
"INTI","D18",2002,57500
"PROD","D18",2002,99800
"VALU","D18",2002,42300
"EMPE","D18",2002,713000
"FTEE","D18",2002,695000
"FTEN","D18",2002,728000
"LABR","D18",2002,32706
"WAGE","D18",2002,27049000
"CAPN","D18",2002,45000
"GFCF","D18",2002,5100
"VKPY","D18",2002,44855.9959642548
"PKPY","D18",2002,102669.735968056
"IKPY","D18",2002,57989.553422003
"GKPY","D18",2002,5014.06594457341
"CNPY","D18",2002,44592.0938777929
"EMPN","D18",2002,746000
"INTI","D18",2003,53400
"PROD","D18",2003,95700
"VALU","D18",2003,42400
"EMPE","D18",2003,678000
"FTEE","D18",2003,659000
"FTEN","D18",2003,697000
"LABR","D18",2003,32162
"WAGE","D18",2003,26383000
"CAPN","D18",2003,45400
"GFCF","D18",2003,4900
"VKPY","D18",2003,42594.2710104305
"PKPY","D18",2003,95066.9165495341
"IKPY","D18",2003,52498.9987171063
"GKPY","D18",2003,4800.66032915387
"CNPY","D18",2003,44932.2849049923
"EMPN","D18",2003,716000
"INTI","D18",2004,53400
"PROD","D18",2004,96300
"VALU","D18",2004,42900
"EMPE","D18",2004,660000
"FTEE","D18",2004,646000
"FTEN","D18",2004,678000
"LABR","D18",2004,32271
"WAGE","D18",2004,26688000
"CAPN","D18",2004,47800
"GFCF","D18",2004,5500
"VKPY","D18",2004,43370.4961121454
"PKPY","D18",2004,95294.2952391362
"IKPY","D18",2004,52043.5608682838
"GKPY","D18",2004,5633.50930565497
"CNPY","D18",2004,45747.4660914275
"EMPN","D18",2004,692000
"INTI","D18",2005,54300
"PROD","D18",2005,98900
"VALU","D18",2005,44600
"EMPE","D18",2005,646000
"FTEE","D18",2005,626000
"FTEN","D18",2005,658000
"LABR","D18",2005,32634
"WAGE","D18",2005,26765000
"CAPN","D18",2005,50200
"GFCF","D18",2005,6000
"VKPY","D18",2005,43468.0192719486
"PKPY","D18",2005,95350.160338082
"IKPY","D18",2005,51894.4152583497
"GKPY","D18",2005,5850.28666303474
"CNPY","D18",2005,48358.834799609
"EMPN","D18",2005,678000
"INTI","D18",2006,54000
"PROD","D18",2006,101000
"VALU","D18",2006,47000
"EMPE","D18",2006,637000
"FTEE","D18",2006,622000
"FTEN","D18",2006,648000
"LABR","D18",2006,32975
"WAGE","D18",2006,27284000
"CAPN","D18",2006,52300
"GFCF","D18",2006,5900
"VKPY","D18",2006,45409.8094466556
"PKPY","D18",2006,96950.7415765926
"IKPY","D18",2006,51548.8869751487
"GKPY","D18",2006,5825.36461636018
"CNPY","D18",2006,50379.9509159774
"EMPN","D18",2006,663000
"INTI","D18",2007,56100
"PROD","D18",2007,103900
"VALU","D18",2007,47800
"EMPE","D18",2007,625000
"FTEE","D18",2007,612000
"FTEN","D18",2007,646000
"LABR","D18",2007,33337
"WAGE","D18",2007,27490000
"CAPN","D18",2007,54400
"GFCF","D18",2007,6500
"VKPY","D18",2007,48297.9001262692
"PKPY","D18",2007,102503.626934634
"IKPY","D18",2007,54220.6417087841
"GKPY","D18",2007,6129.75387227885
"CNPY","D18",2007,52781.8768232451
"EMPN","D18",2007,659000
"INTI","D18",2008,54300
"PROD","D18",2008,99300
"VALU","D18",2008,44900
"EMPE","D18",2008,594000
"FTEE","D18",2008,578000
"FTEN","D18",2008,605000
"LABR","D18",2008,32255
"WAGE","D18",2008,26357000
"CAPN","D18",2008,56100
"GFCF","D18",2008,5800
"VKPY","D18",2008,46590.3062641497
"PKPY","D18",2008,97712.5916315794
"IKPY","D18",2008,51193.9066331605
"GKPY","D18",2008,5671.38311556428
"CNPY","D18",2008,53958.3606807601
"EMPN","D18",2008,621000
"INTI","D18",2009,44500
"PROD","D18",2009,83800
"VALU","D18",2009,39300
"EMPE","D18",2009,523000
"FTEE","D18",2009,507000
"FTEN","D18",2009,533000
"LABR","D18",2009,27257
"WAGE","D18",2009,22750000
"CAPN","D18",2009,53100
"GFCF","D18",2009,3900
"VKPY","D18",2009,38769.7302524782
"PKPY","D18",2009,84040.7254754268
"IKPY","D18",2009,45175.4604901912
"GKPY","D18",2009,3214.50740445154
"CNPY","D18",2009,53956.3155819299
"EMPN","D18",2009,549000
"INTI","D18",2010,44700
"PROD","D18",2010,83500
"VALU","D18",2010,38800
"EMPE","D18",2010,487000
"FTEE","D18",2010,472000
"FTEN","D18",2010,505000
"LABR","D18",2010,26065
"WAGE","D18",2010,21614000
"CAPN","D18",2010,51300
"GFCF","D18",2010,3400
"VKPY","D18",2010,39751.164
"PKPY","D18",2010,83412.006
"IKPY","D18",2010,43682.09
"GKPY","D18",2010,3537.339
"CNPY","D18",2010,50808.204
"EMPN","D18",2010,520000
"INTI","D18",2011,45600
"PROD","D18",2011,83600
"VALU","D18",2011,37900
"EMPE","D18",2011,472000
"FTEE","D18",2011,459000
"FTEN","D18",2011,480000
"LABR","D18",2011,25941
"WAGE","D18",2011,21338000
"CAPN","D18",2011,51600
"GFCF","D18",2011,4500
"VKPY","D18",2011,39627.4172499703
"PKPY","D18",2011,82362.4732511528
"IKPY","D18",2011,42812.4926142499
"GKPY","D18",2011,4767.74456731458
"CNPY","D18",2011,50202.5218427323
"EMPN","D18",2011,493000
"INTI","D18",2012,44100
"PROD","D18",2012,81200
"VALU","D18",2012,37100
"EMPE","D18",2012,460000
"FTEE","D18",2012,447000
"FTEN","D18",2012,466000
"LABR","D18",2012,25624
"WAGE","D18",2012,21144000
"CAPN","D18",2012,51100
"GFCF","D18",2012,4500
"VKPY","D18",2012,37238.1578819999
"PKPY","D18",2012,81100.0295372832
"IKPY","D18",2012,43768.5695140241
"GKPY","D18",2012,4428.88480045287
"CNPY","D18",2012,50482.4417698132
"EMPN","D18",2012,479000
"INTI","D18",2013,42400
"PROD","D18",2013,79200
"VALU","D18",2013,36800
"EMPE","D18",2013,454000
"FTEE","D18",2013,441000
"FTEN","D18",2013,462000
"LABR","D18",2013,25553
"WAGE","D18",2013,21128000
"CAPN","D18",2013,51200
"GFCF","D18",2013,4800
"VKPY","D18",2013,36765.1895055221
"PKPY","D18",2013,78848.699669274
"IKPY","D18",2013,42085.6140778582
"GKPY","D18",2013,4881.45281119686
"CNPY","D18",2013,50362.0233819821
"EMPN","D18",2013,475000
"INTI","D19",1997,127300
"PROD","D19",1997,175300
"VALU","D19",1997,48000
"CAPN","D19",1997,105600
"GFCF","D19",1997,7000
"INTI","D19",1998,84900
"PROD","D19",1998,135300
"VALU","D19",1998,50400
"EMPE","D19",1998,123000
"FTEE","D19",1998,121000
"FTEN","D19",1998,122000
"LABR","D19",1998,10656
"WAGE","D19",1998,7363000
"CAPN","D19",1998,105900
"GFCF","D19",1998,7400
"VKPY","D19",1998,54057.7716643741
"PKPY","D19",1998,171827.7514983
"IKPY","D19",1998,116801.286800546
"GKPY","D19",1998,7318.5835121828
"CNPY","D19",1998,103682.381416856
"EMPN","D19",1998,124000
"INTI","D19",1999,113500
"PROD","D19",1999,159000
"VALU","D19",1999,45500
"EMPE","D19",1999,124000
"FTEE","D19",1999,123000
"FTEN","D19",1999,124000
"LABR","D19",1999,11065
"WAGE","D19",1999,7609000
"CAPN","D19",1999,106700
"GFCF","D19",1999,8200
"VKPY","D19",1999,47444.5523941707
"PKPY","D19",1999,139031.106113177
"IKPY","D19",1999,91106.0348491288
"GKPY","D19",1999,6829.68665096903
"CNPY","D19",1999,104802.489728338
"EMPN","D19",1999,125000
"INTI","D19",2000,177600
"PROD","D19",2000,230700
"VALU","D19",2000,53100
"EMPE","D19",2000,121000
"FTEE","D19",2000,120000
"FTEN","D19",2000,121000
"LABR","D19",2000,11084
"WAGE","D19",2000,7533000
"CAPN","D19",2000,106600
"GFCF","D19",2000,7300
"VKPY","D19",2000,44419.9410246959
"PKPY","D19",2000,158270.762530109
"IKPY","D19",2000,113667.440594059
"GKPY","D19",2000,9939.3451738462
"CNPY","D19",2000,104707.226422109
"EMPN","D19",2000,122000
"INTI","D19",2001,146700
"PROD","D19",2001,215800
"VALU","D19",2001,69100
"EMPE","D19",2001,118000
"FTEE","D19",2001,117000
"FTEN","D19",2001,118000
"LABR","D19",2001,12081
"WAGE","D19",2001,7764000
"CAPN","D19",2001,107400
"GFCF","D19",2001,8800
"VKPY","D19",2001,65670.3012912482
"PKPY","D19",2001,232379.82962079
"IKPY","D19",2001,165569.083233645
"GKPY","D19",2001,7102.22354147553
"CNPY","D19",2001,106210.934165162
"EMPN","D19",2001,119000
"INTI","D19",2002,160400
"PROD","D19",2002,211600
"VALU","D19",2002,51200
"EMPE","D19",2002,117000
"FTEE","D19",2002,116000
"FTEN","D19",2002,117000
"LABR","D19",2002,11224
"WAGE","D19",2002,7808000
"CAPN","D19",2002,109600
"GFCF","D19",2002,9900
"VKPY","D19",2002,63391.592380022
"PKPY","D19",2002,222769.002775249
"IKPY","D19",2002,158549.941143409
"GKPY","D19",2002,10067.0105952183
"CNPY","D19",2002,108246.741197049
"EMPN","D19",2002,118000
"INTI","D19",2003,161700
"PROD","D19",2003,243800
"VALU","D19",2003,82100
"EMPE","D19",2003,114000
"FTEE","D19",2003,113000
"FTEN","D19",2003,113000
"LABR","D19",2003,12152
"WAGE","D19",2003,7962000
"CAPN","D19",2003,112100
"GFCF","D19",2003,10000
"VKPY","D19",2003,68519.0602329451
"PKPY","D19",2003,201133.212194629
"IKPY","D19",2003,132975.210471574
"GKPY","D19",2003,13386.9026548673
"CNPY","D19",2003,110517.973741134
"EMPN","D19",2003,114000
"INTI","D19",2004,216500
"PROD","D19",2004,322200
"VALU","D19",2004,105700
"EMPE","D19",2004,110000
"FTEE","D19",2004,109000
"FTEN","D19",2004,109000
"LABR","D19",2004,12512
"WAGE","D19",2004,8393000
"CAPN","D19",2004,118700
"GFCF","D19",2004,10100
"VKPY","D19",2004,91765.4525199678
"PKPY","D19",2004,265339.500514242
"IKPY","D19",2004,173671.185598125
"GKPY","D19",2004,9473.03306318583
"CNPY","D19",2004,112772.471377616
"EMPN","D19",2004,110000
"INTI","D19",2005,315700
"PROD","D19",2005,458400
"VALU","D19",2005,142700
"EMPE","D19",2005,112000
"FTEE","D19",2005,110000
"FTEN","D19",2005,110000
"LABR","D19",2005,13452
"WAGE","D19",2005,9075000
"CAPN","D19",2005,128300
"GFCF","D19",2005,14400
"VKPY","D19",2005,104605.121336976
"PKPY","D19",2005,340935.290431924
"IKPY","D19",2005,236362.056995504
"GKPY","D19",2005,15363.4395169686
"CNPY","D19",2005,122495.139035245
"EMPN","D19",2005,112000
"INTI","D19",2006,392600
"PROD","D19",2006,533500
"VALU","D19",2006,140900
"EMPE","D19",2006,113000
"FTEE","D19",2006,110000
"FTEN","D19",2006,111000
"LABR","D19",2006,15607
"WAGE","D19",2006,9699000
"CAPN","D19",2006,137900
"GFCF","D19",2006,15100
"VKPY","D19",2006,122251.410407431
"PKPY","D19",2006,454951.409489788
"IKPY","D19",2006,332449.126366472
"GKPY","D19",2006,14919.9810865291
"CNPY","D19",2006,132631.02280099
"EMPN","D19",2006,114000
"INTI","D19",2007,447100
"PROD","D19",2007,602000
"VALU","D19",2007,154900
"EMPE","D19",2007,115000
"FTEE","D19",2007,113000
"FTEN","D19",2007,114000
"LABR","D19",2007,15772
"WAGE","D19",2007,10703000
"CAPN","D19",2007,153000
"GFCF","D19",2007,21500
"VKPY","D19",2007,142720.535723657
"PKPY","D19",2007,547593.988712943
"IKPY","D19",2007,404856.872274143
"GKPY","D19",2007,20254.2885622328
"CNPY","D19",2007,147638.510435551
"EMPN","D19",2007,116000
"INTI","D19",2008,574800
"PROD","D19",2008,731600
"VALU","D19",2008,156800
"EMPE","D19",2008,116000
"FTEE","D19",2008,115000
"FTEN","D19",2008,116000
"LABR","D19",2008,16348
"WAGE","D19",2008,10857000
"CAPN","D19",2008,167900
"GFCF","D19",2008,20600
"VKPY","D19",2008,166105.306515792
"PKPY","D19",2008,579140.039259782
"IKPY","D19",2008,416072.05294566
"GKPY","D19",2008,21043.7859809653
"CNPY","D19",2008,160139.41321408
"EMPN","D19",2008,117000
"INTI","D19",2009,364700
"PROD","D19",2009,479400
"VALU","D19",2009,114600
"EMPE","D19",2009,114000
"FTEE","D19",2009,113000
"FTEN","D19",2009,113000
"LABR","D19",2009,16465
"WAGE","D19",2009,10586000
"CAPN","D19",2009,171400
"GFCF","D19",2009,19600
"VKPY","D19",2009,151519.543895251
"PKPY","D19",2009,724664.956367563
"IKPY","D19",2009,574134.004554717
"GKPY","D19",2009,18843.5890634004
"CNPY","D19",2009,174119.550338076
"EMPN","D19",2009,114000
"INTI","D19",2010,471700
"PROD","D19",2010,601700
"VALU","D19",2010,130000
"EMPE","D19",2010,111000
"FTEE","D19",2010,109000
"FTEN","D19",2010,109000
"LABR","D19",2010,16450
"WAGE","D19",2010,10587000
"CAPN","D19",2010,175000
"GFCF","D19",2010,15000
"VKPY","D19",2010,98502.138
"PKPY","D19",2010,466389.084
"IKPY","D19",2010,368201.12
"GKPY","D19",2010,14766.64
"CNPY","D19",2010,172673.502
"EMPN","D19",2010,111000
"INTI","D19",2011,638400
"PROD","D19",2011,807600
"VALU","D19",2011,169200
"EMPE","D19",2011,110000
"FTEE","D19",2011,110000
"FTEN","D19",2011,111000
"LABR","D19",2011,16914
"WAGE","D19",2011,11257000
"CAPN","D19",2011,179800
"GFCF","D19",2011,13400
"VKPY","D19",2011,111558.642513932
"PKPY","D19",2011,616568.396274901
"IKPY","D19",2011,506143.070522979
"GKPY","D19",2011,11865.0119458455
"CNPY","D19",2011,174435.444646278
"EMPN","D19",2011,111000
"INTI","D19",2012,631800
"PROD","D19",2012,813500
"VALU","D19",2012,181700
"EMPE","D19",2012,111000
"FTEE","D19",2012,110000
"FTEN","D19",2012,111000
"LABR","D19",2012,18149
"WAGE","D19",2012,11935000
"CAPN","D19",2012,180000
"GFCF","D19",2012,11500
"VKPY","D19",2012,168562.288503254
"PKPY","D19",2012,802520.601865784
"IKPY","D19",2012,633956.681313001
"GKPY","D19",2012,9314.83706413397
"CNPY","D19",2012,177314.764285288
"EMPN","D19",2012,112000
"INTI","D19",2013,625900
"PROD","D19",2013,795600
"VALU","D19",2013,169700
"EMPE","D19",2013,111000
"FTEE","D19",2013,110000
"FTEN","D19",2013,110000
"LABR","D19",2013,17937
"WAGE","D19",2013,11995000
"CAPN","D19",2013,181300
"GFCF","D19",2013,12200
"VKPY","D19",2013,194446.842764214
"PKPY","D19",2013,826713.021006834
"IKPY","D19",2013,632792.528212088
"GKPY","D19",2013,12162.9170086419
"CNPY","D19",2013,178487.730990609
"EMPN","D19",2013,111000
"INTI","D20T21",1997,240000
"PROD","D20T21",1997,414900
"VALU","D20T21",1997,174900
"CAPN","D20T21",1997,329000
"GFCF","D20T21",1997,49000
"EMPN","D20T21",1997,0
"INTI","D20T21",1998,238400
"PROD","D20T21",1998,420400
"VALU","D20T21",1998,182000
"EMPE","D20T21",1998,993000
"FTEE","D20T21",1998,974000
"FTEN","D20T21",1998,980000
"LABR","D20T21",1998,67012
"WAGE","D20T21",1998,53792000
"CAPN","D20T21",1998,353700
"GFCF","D20T21",1998,54700
"VKPY","D20T21",1998,173634.082698208
"PKPY","D20T21",1998,420283.506673079
"IKPY","D20T21",1998,246795.27451516
"GKPY","D20T21",1998,57519.327877416
"CNPY","D20T21",1998,346616.310028597
"EMPN","D20T21",1998,999000
"INTI","D20T21",1999,238800
"PROD","D20T21",1999,428600
"VALU","D20T21",1999,189800
"EMPE","D20T21",1999,984000
"FTEE","D20T21",1999,971000
"FTEN","D20T21",1999,977000
"LABR","D20T21",1999,70098
"WAGE","D20T21",1999,55872000
"CAPN","D20T21",1999,379700
"GFCF","D20T21",1999,57500
"VKPY","D20T21",1999,193792.494921422
"PKPY","D20T21",1999,427993.05631114
"IKPY","D20T21",1999,234388.704147955
"GKPY","D20T21",1999,52250.1753530901
"CNPY","D20T21",1999,371422.51965556
"EMPN","D20T21",1999,990000
"INTI","D20T21",2000,263700
"PROD","D20T21",2000,452700
"VALU","D20T21",2000,189000
"EMPE","D20T21",2000,980000
"FTEE","D20T21",2000,967000
"FTEN","D20T21",2000,973000
"LABR","D20T21",2000,74173
"WAGE","D20T21",2000,59277000
"CAPN","D20T21",2000,405900
"GFCF","D20T21",2000,60700
"VKPY","D20T21",2000,188562.627870503
"PKPY","D20T21",2000,428695.776536313
"IKPY","D20T21",2000,240088.336907516
"GKPY","D20T21",2000,57038.2345763915
"CNPY","D20T21",2000,397574.937607701
"EMPN","D20T21",2000,986000
"INTI","D20T21",2001,249900
"PROD","D20T21",2001,443300
"VALU","D20T21",2001,193400
"EMPE","D20T21",2001,957000
"FTEE","D20T21",2001,944000
"FTEN","D20T21",2001,948000
"LABR","D20T21",2001,74758
"WAGE","D20T21",2001,58590000
"CAPN","D20T21",2001,423600
"GFCF","D20T21",2001,61400
"VKPY","D20T21",2001,186978.204780811
"PKPY","D20T21",2001,440598.449702762
"IKPY","D20T21",2001,253544.490724801
"GKPY","D20T21",2001,61329.873644191
"CNPY","D20T21",2001,423118.429453075
"EMPN","D20T21",2001,961000
"INTI","D20T21",2002,262600
"PROD","D20T21",2002,469700
"VALU","D20T21",2002,207100
"EMPE","D20T21",2002,924000
"FTEE","D20T21",2002,909000
"FTEN","D20T21",2002,912000
"LABR","D20T21",2002,74053
"WAGE","D20T21",2002,57640000
"CAPN","D20T21",2002,442100
"GFCF","D20T21",2002,61800
"VKPY","D20T21",2002,205714.789277506
"PKPY","D20T21",2002,470248.583775799
"IKPY","D20T21",2002,264527.973273942
"GKPY","D20T21",2002,64813.9046902322
"CNPY","D20T21",2002,439667.68560735
"EMPN","D20T21",2002,927000
"INTI","D20T21",2003,278900
"PROD","D20T21",2003,490300
"VALU","D20T21",2003,211500
"EMPE","D20T21",2003,903000
"FTEE","D20T21",2003,886000
"FTEN","D20T21",2003,891000
"LABR","D20T21",2003,76044
"WAGE","D20T21",2003,59067000
"CAPN","D20T21",2003,465900
"GFCF","D20T21",2003,60700
"VKPY","D20T21",2003,207329.544334975
"PKPY","D20T21",2003,469311.113306425
"IKPY","D20T21",2003,261967.31767288
"GKPY","D20T21",2003,56021.1926778637
"CNPY","D20T21",2003,455300.043271878
"EMPN","D20T21",2003,908000
"INTI","D20T21",2004,314800
"PROD","D20T21",2004,544900
"VALU","D20T21",2004,230100
"EMPE","D20T21",2004,884000
"FTEE","D20T21",2004,868000
"FTEN","D20T21",2004,874000
"LABR","D20T21",2004,77999
"WAGE","D20T21",2004,60773000
"CAPN","D20T21",2004,498400
"GFCF","D20T21",2004,65900
"VKPY","D20T21",2004,229085.775953656
"PKPY","D20T21",2004,513790.300285314
"IKPY","D20T21",2004,285167.493486622
"GKPY","D20T21",2004,61685.6562922869
"CNPY","D20T21",2004,481756.462394479
"EMPN","D20T21",2004,890000
"INTI","D20T21",2005,382200
"PROD","D20T21",2005,609500
"VALU","D20T21",2005,227300
"EMPE","D20T21",2005,877000
"FTEE","D20T21",2005,862000
"FTEN","D20T21",2005,871000
"LABR","D20T21",2005,80757
"WAGE","D20T21",2005,62914000
"CAPN","D20T21",2005,535200
"GFCF","D20T21",2005,68700
"VKPY","D20T21",2005,218014.606521156
"PKPY","D20T21",2005,555789.480352602
"IKPY","D20T21",2005,337073.993302163
"GKPY","D20T21",2005,62435.7631420215
"CNPY","D20T21",2005,513349.790671329
"EMPN","D20T21",2005,886000
"INTI","D20T21",2006,398100
"PROD","D20T21",2006,658700
"VALU","D20T21",2006,260600
"EMPE","D20T21",2006,865000
"FTEE","D20T21",2006,853000
"FTEN","D20T21",2006,865000
"LABR","D20T21",2006,81484
"WAGE","D20T21",2006,63427000
"CAPN","D20T21",2006,569000
"GFCF","D20T21",2006,74000
"VKPY","D20T21",2006,251578.821362799
"PKPY","D20T21",2006,621866.012985526
"IKPY","D20T21",2006,370633.143711896
"GKPY","D20T21",2006,66808.5383432635
"CNPY","D20T21",2006,553594.940703902
"EMPN","D20T21",2006,877000
"INTI","D20T21",2007,451300
"PROD","D20T21",2007,727700
"VALU","D20T21",2007,276400
"EMPE","D20T21",2007,859000
"FTEE","D20T21",2007,845000
"FTEN","D20T21",2007,853000
"LABR","D20T21",2007,85724
"WAGE","D20T21",2007,66705000
"CAPN","D20T21",2007,625900
"GFCF","D20T21",2007,95200
"VKPY","D20T21",2007,275825.121838356
"PKPY","D20T21",2007,705690.686790889
"IKPY","D20T21",2007,429789.706535372
"GKPY","D20T21",2007,109242.230347349
"CNPY","D20T21",2007,603584.688464339
"EMPN","D20T21",2007,867000
"INTI","D20T21",2008,455600
"PROD","D20T21",2008,735600
"VALU","D20T21",2008,280100
"EMPE","D20T21",2008,848000
"FTEE","D20T21",2008,836000
"FTEN","D20T21",2008,843000
"LABR","D20T21",2008,86589
"WAGE","D20T21",2008,66720000
"CAPN","D20T21",2008,676800
"GFCF","D20T21",2008,98500
"VKPY","D20T21",2008,252704.824981628
"PKPY","D20T21",2008,658569.790289823
"IKPY","D20T21",2008,405854.437476999
"GKPY","D20T21",2008,83367.6096760968
"CNPY","D20T21",2008,657630.760933516
"EMPN","D20T21",2008,855000
"INTI","D20T21",2009,312400
"PROD","D20T21",2009,622600
"VALU","D20T21",2009,310300
"EMPE","D20T21",2009,8e+05
"FTEE","D20T21",2009,785000
"FTEN","D20T21",2009,787000
"LABR","D20T21",2009,84267
"WAGE","D20T21",2009,65027000
"CAPN","D20T21",2009,697200
"GFCF","D20T21",2009,93300
"VKPY","D20T21",2009,284981.737157508
"PKPY","D20T21",2009,655095.334360445
"IKPY","D20T21",2009,365573.796800026
"GKPY","D20T21",2009,94116.9725866402
"CNPY","D20T21",2009,701819.878674755
"EMPN","D20T21",2009,802000
"INTI","D20T21",2010,384000
"PROD","D20T21",2010,714900
"VALU","D20T21",2010,330800
"EMPE","D20T21",2010,788000
"FTEE","D20T21",2010,775000
"FTEN","D20T21",2010,783000
"LABR","D20T21",2010,85925
"WAGE","D20T21",2010,65703000
"CAPN","D20T21",2010,735100
"GFCF","D20T21",2010,97100
"VKPY","D20T21",2010,330410.543
"PKPY","D20T21",2010,664862.088
"IKPY","D20T21",2010,334817.824
"GKPY","D20T21",2010,79567.173
"CNPY","D20T21",2010,721727.496
"EMPN","D20T21",2010,796000
"INTI","D20T21",2011,442500
"PROD","D20T21",2011,779700
"VALU","D20T21",2011,337200
"EMPE","D20T21",2011,785000
"FTEE","D20T21",2011,774000
"FTEN","D20T21",2011,781000
"LABR","D20T21",2011,86701
"WAGE","D20T21",2011,66556000
"CAPN","D20T21",2011,777900
"GFCF","D20T21",2011,98800
"VKPY","D20T21",2011,311666.09629887
"PKPY","D20T21",2011,703063.995954602
"IKPY","D20T21",2011,390986.638799731
"GKPY","D20T21",2011,131406.822152648
"CNPY","D20T21",2011,756637.880368632
"EMPN","D20T21",2011,792000
"INTI","D20T21",2012,425300
"PROD","D20T21",2012,766800
"VALU","D20T21",2012,341500
"EMPE","D20T21",2012,788000
"FTEE","D20T21",2012,774000
"FTEN","D20T21",2012,785000
"LABR","D20T21",2012,89791
"WAGE","D20T21",2012,69291000
"CAPN","D20T21",2012,820200
"GFCF","D20T21",2012,102700
"VKPY","D20T21",2012,323923.350810391
"PKPY","D20T21",2012,773047.827080556
"IKPY","D20T21",2012,449620.484577461
"GKPY","D20T21",2012,106188.684018993
"CNPY","D20T21",2012,798298.23746375
"EMPN","D20T21",2012,799000
"INTI","D20T21",2013,438700
"PROD","D20T21",2013,784400
"VALU","D20T21",2013,345700
"EMPE","D20T21",2013,795000
"FTEE","D20T21",2013,786000
"FTEN","D20T21",2013,790000
"LABR","D20T21",2013,92273
"WAGE","D20T21",2013,71557000
"CAPN","D20T21",2013,855400
"GFCF","D20T21",2013,105300
"VKPY","D20T21",2013,339373.863777861
"PKPY","D20T21",2013,777949.54477354
"IKPY","D20T21",2013,438644.083800797
"GKPY","D20T21",2013,106706.395362898
"CNPY","D20T21",2013,839635.165759751
"EMPN","D20T21",2013,799000
"INTI","D22",1997,100300
"PROD","D22",1997,158300
"VALU","D22",1997,58000
"CAPN","D22",1997,65900
"GFCF","D22",1997,9700
"INTI","D22",1998,100900
"PROD","D22",1998,163000
"VALU","D22",1998,62100
"EMPE","D22",1998,931000
"FTEE","D22",1998,913000
"FTEN","D22",1998,918000
"LABR","D22",1998,36774
"WAGE","D22",1998,30617000
"CAPN","D22",1998,69700
"GFCF","D22",1998,10400
"VKPY","D22",1998,60842.6690747479
"PKPY","D22",1998,164147.315449729
"IKPY","D22",1998,103288.470044537
"GKPY","D22",1998,10411.4685720925
"CNPY","D22",1998,68389.5587814173
"EMPN","D22",1998,936000
"INTI","D22",1999,105200
"PROD","D22",1999,171600
"VALU","D22",1999,66300
"EMPE","D22",1999,949000
"FTEE","D22",1999,934000
"FTEN","D22",1999,939000
"LABR","D22",1999,38777
"WAGE","D22",1999,32173000
"CAPN","D22",1999,73500
"GFCF","D22",1999,11100
"VKPY","D22",1999,66126.6547949599
"PKPY","D22",1999,171099.959687423
"IKPY","D22",1999,104975.303439849
"GKPY","D22",1999,10951.3352023641
"CNPY","D22",1999,72409.6185685176
"EMPN","D22",1999,954000
"INTI","D22",2000,111100
"PROD","D22",2000,177000
"VALU","D22",2000,65900
"EMPE","D22",2000,952000
"FTEE","D22",2000,938000
"FTEN","D22",2000,943000
"LABR","D22",2000,40306
"WAGE","D22",2000,33426000
"CAPN","D22",2000,76600
"GFCF","D22",2000,10900
"VKPY","D22",2000,67060.3596677551
"PKPY","D22",2000,172973.793592414
"IKPY","D22",2000,105824.510103994
"GKPY","D22",2000,10741.6594281485
"CNPY","D22",2000,75455.2545281804
"EMPN","D22",2000,957000
"INTI","D22",2001,105100
"PROD","D22",2001,169200
"VALU","D22",2001,64100
"EMPE","D22",2001,890000
"FTEE","D22",2001,877000
"FTEN","D22",2001,882000
"LABR","D22",2001,38893
"WAGE","D22",2001,31769000
"CAPN","D22",2001,78000
"GFCF","D22",2001,10000
"VKPY","D22",2001,62318.3828426802
"PKPY","D22",2001,167630.357692364
"IKPY","D22",2001,105315.564345506
"GKPY","D22",2001,9585.37709793924
"CNPY","D22",2001,77464.3997969967
"EMPN","D22",2001,895000
"INTI","D22",2002,108800
"PROD","D22",2002,172300
"VALU","D22",2002,63500
"EMPE","D22",2002,846000
"FTEE","D22",2002,836000
"FTEN","D22",2002,839000
"LABR","D22",2002,38718
"WAGE","D22",2002,31600000
"CAPN","D22",2002,79300
"GFCF","D22",2002,10000
"VKPY","D22",2002,62973.4444785098
"PKPY","D22",2002,172613.81855316
"IKPY","D22",2002,109657.353786437
"GKPY","D22",2002,10455.2098180852
"CNPY","D22",2002,78728.3837638376
"EMPN","D22",2002,849000
"INTI","D22",2003,111800
"PROD","D22",2003,175100
"VALU","D22",2003,63300
"EMPE","D22",2003,815000
"FTEE","D22",2003,804000
"FTEN","D22",2003,810000
"LABR","D22",2003,38873
"WAGE","D22",2003,31409000
"CAPN","D22",2003,80200
"GFCF","D22",2003,9000
"VKPY","D22",2003,64646.1513807122
"PKPY","D22",2003,171559.15795221
"IKPY","D22",2003,106959.863780102
"GKPY","D22",2003,8700.58749111831
"CNPY","D22",2003,78989.2136408837
"EMPN","D22",2003,821000
"INTI","D22",2004,117300
"PROD","D22",2004,181700
"VALU","D22",2004,64400
"EMPE","D22",2004,802000
"FTEE","D22",2004,789000
"FTEN","D22",2004,793000
"LABR","D22",2004,39260
"WAGE","D22",2004,32079000
"CAPN","D22",2004,83500
"GFCF","D22",2004,9500
"VKPY","D22",2004,66891.8352637073
