"cou","var","ind","est","sou","value"
"DEU","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"DEU","VALU","CTOTAL","DET","SEC",""
"DEU","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"DEU","PROD","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"DEU","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"DEU","PROD","CTOTAL","DET","SEC",""
"DEU","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"DEU","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"DEU","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"DEU","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"DEU","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"DEU","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"DEU","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"DEU","LABR","CTOTAL","DET","SEC","INDSTAT32"
"DNK","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"DNK","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"DNK","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"DNK","VALU","CTOTAL","DET","SEC","INDSTAT32"
"DNK","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"DNK","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"DNK","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"DNK","PROD","CTOTAL","DET","SEC","INDSTAT32"
"DNK","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"DNK","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"DNK","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"DNK","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"DNK","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"DNK","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"DNK","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"DNK","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ESP","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"ESP","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"ESP","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"ESP","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ESP","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"ESP","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"ESP","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"ESP","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ESP","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"ESP","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"ESP","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"ESP","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ESP","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"ESP","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"ESP","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"ESP","LABR","CTOTAL","DET","SEC","INDSTAT32"
"EST","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"EST","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"EST","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"EST","VALU","CTOTAL","DET","SEC","INDSTAT32"
"EST","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"EST","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"EST","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"EST","PROD","CTOTAL","DET","SEC","INDSTAT32"
"EST","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"EST","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"EST","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"EST","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"EST","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"EST","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"EST","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"EST","LABR","CTOTAL","DET","SEC","INDSTAT32"
"FIN","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"FIN","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"FIN","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"FIN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"FIN","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"FIN","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"FIN","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"FIN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"FIN","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"FIN","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"FIN","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"FIN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"FIN","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"FIN","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"FIN","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"FIN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"FRA","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"FRA","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"FRA","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"FRA","VALU","CTOTAL","DET","SEC","INDSTAT32"
"FRA","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"FRA","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"FRA","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"FRA","PROD","CTOTAL","DET","SEC","INDSTAT32"
"FRA","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"FRA","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"FRA","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"FRA","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"FRA","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"FRA","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"FRA","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"FRA","LABR","CTOTAL","DET","SEC","INDSTAT32"
"GBR","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"GBR","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"GBR","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"GBR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"GBR","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"GBR","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"GBR","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"GBR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"GBR","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"GBR","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"GBR","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"GBR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"GBR","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"GBR","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"GBR","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"GBR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"GRC","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"GRC","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"GRC","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"GRC","VALU","CTOTAL","DET","SEC","INDSTAT32"
"GRC","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"GRC","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"GRC","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"GRC","PROD","CTOTAL","DET","SEC","INDSTAT32"
"GRC","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"GRC","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"GRC","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"GRC","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"GRC","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"GRC","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"GRC","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"GRC","LABR","CTOTAL","DET","SEC","INDSTAT32"
"HUN","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"HUN","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"HUN","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"HUN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"HUN","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"HUN","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"HUN","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"HUN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"HUN","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"HUN","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"HUN","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"HUN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"HUN","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"HUN","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"HUN","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"HUN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"IRL","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"IRL","VALU","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"IRL","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"IRL","VALU","CTOTAL","DET","SEC",""
"IRL","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"IRL","PROD","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"IRL","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"IRL","PROD","CTOTAL","DET","SEC",""
"IRL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"IRL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"IRL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"IRL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"IRL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"IRL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"IRL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"IRL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ISL","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"ISL","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"ISL","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"ISL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ISL","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"ISL","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"ISL","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"ISL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ISL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"ISL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"ISL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"ISL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ISL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"ISL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"ISL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"ISL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ISR","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"ISR","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"ISR","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"ISR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ISR","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"ISR","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"ISR","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"ISR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ISR","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"ISR","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"ISR","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"ISR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ISR","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"ISR","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"ISR","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"ISR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ITA","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"ITA","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"ITA","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"ITA","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ITA","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"ITA","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"ITA","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"ITA","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ITA","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"ITA","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"ITA","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"ITA","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ITA","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"ITA","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"ITA","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"ITA","LABR","CTOTAL","DET","SEC","INDSTAT32"
"JPN","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"JPN","VALU","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"JPN","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"JPN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"JPN","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"JPN","PROD","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"JPN","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"JPN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"JPN","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"JPN","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"JPN","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"JPN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"JPN","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"JPN","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"JPN","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"JPN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"KOR","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"KOR","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"KOR","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"KOR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"KOR","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"KOR","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"KOR","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"KOR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"KOR","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"KOR","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"KOR","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"KOR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"KOR","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"KOR","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"KOR","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"KOR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"LUX","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"LUX","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"LUX","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"LUX","VALU","CTOTAL","DET","SEC","INDSTAT32"
"LUX","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"LUX","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"LUX","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"LUX","PROD","CTOTAL","DET","SEC","INDSTAT32"
"LUX","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"LUX","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"LUX","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"LUX","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"LUX","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"LUX","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"LUX","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"LUX","LABR","CTOTAL","DET","SEC","INDSTAT32"
"MEX","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"MEX","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"MEX","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"MEX","VALU","CTOTAL","DET","SEC","INDSTAT32"
"MEX","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"MEX","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"MEX","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"MEX","PROD","CTOTAL","DET","SEC","INDSTAT32"
"MEX","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"MEX","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"MEX","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"MEX","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"MEX","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"MEX","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"MEX","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"MEX","LABR","CTOTAL","DET","SEC","INDSTAT32"
"NLD","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"NLD","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"NLD","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"NLD","VALU","CTOTAL","DET","SEC","INDSTAT32"
"NLD","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"NLD","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"NLD","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"NLD","PROD","CTOTAL","DET","SEC","INDSTAT32"
"NLD","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"NLD","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"NLD","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"NLD","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"NLD","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"NLD","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"NLD","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"NLD","LABR","CTOTAL","DET","SEC","INDSTAT32"
"NOR","VALU","CTOTAL","EXT","MAIN","NSONAPATCH"
"NOR","VALU","CTOTAL","EXT","SEC","EUNAMAR2"
"NOR","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"NOR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"NOR","PROD","CTOTAL","EXT","MAIN","NSONAPATCH"
"NOR","PROD","CTOTAL","EXT","SEC","EUNAMAR2"
"NOR","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"NOR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"NOR","EMPN","CTOTAL","EXT","MAIN","NSONAPATCH"
"NOR","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"NOR","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"NOR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"NOR","LABR","CTOTAL","EXT","MAIN","NSONAPATCH"
"NOR","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
